Name,Purpose,Quantity,Total Cost (USD),Link,Distributor
"PCBA","Build Board",2,29.91,"","JLCPCB"
"PCB","The Board",5,2.00,"","JLCPCB"
"32Khz Crystal","Low Speed Clock",5,0.36,"https://jlcpcb.com/partdetail/SeikoEpson-Q13FC13500002/C48615","JLCPCB"
"25Mhz Crystal","High Speed Clock",2,0.15,"https://jlcpcb.com/partdetail/YXC_CrystalOscillators-X322525MOB4SI/C9006","JLCPCB"
"27Mhz Crystal","OSD Clock",6,0.43,"https://jlcpcb.com/partdetail/19392660-XL7EL89COI_111YLC27M/C18214311","JLCPCB"
"USB-C","Flashing Software",20,1.27,"https://www.lcsc.com/product-detail/C2765186.html","LCSC"
"ICM-45686","Interial Measurement Unit",2,35.78,"https://jlcpcb.com/partdetail/TDKInvenSense-ICM45686/C22459454","JLCPCB"
"BMP280","Barometer ",2,12.06,"https://www.lcsc.com/product-detail/C83291.html?spm=wm.gwc.xh.0.cbm___wm.sxq.ssl.gwc&lcsc_vid=RAcKAlZfRgcIX1ReFQJbUgBSRQMIXgJTTgVcAwJURlQxVlNRQVBaUV1fRllWUzsOAxUeFF5JWBYZEEoKFBINSQcJGk4eFQsCAgIaSgADAwAHC0slRVheUVZRRU8GEwkK","LCSC"
"Buzzer","Help Find After Downed",2,2.09,"https://www.lcsc.com/product-detail/C18186314.html","LCSC"
"LMR51430","3.3V Voltage Regulators",2,1.81,"https://jlcpcb.com/partdetail/TexasInstruments-LMR51430YFDDCR/C5219261","JLCPCB"
"TPS63070RNMR","5V / 9V Voltage Regulators",4,5.69,"https://jlcpcb.com/partdetail/TexasInstruments-TPS63070RNMR/C109322","JLCPCB"
"AT7456E","Displays Important Info On Video Out Feed",3,11.16,"https://jlcpcb.com/partdetail/ZHONGKEWEI-AT7456E/C82351","JLCPCB"
"STM32F722RET6","Microcontroller",2,12.91,"https://jlcpcb.com/partdetail/STMicroelectronics-STM32F722RET6/C118207","JLCPCB"
"Tactile Switch","Boot / Reset Buttons",4,0.22,"https://jlcpcb.com/partdetail/XUNPU-TS_1088AR02016/C720477","JLCPCB"
"22k Resistor","Voltage Divider",20,0.00,"https://jlcpcb.com/partdetail/26511-0402WGF2202TCE/C25768","JLCPCB"
"100k Resistor","Voltage Divider Resistors",20,0.00,"https://jlcpcb.com/partdetail/26484-0402WGF1003TCE/C25741","JLCPCB"
"39Ω Resistor","Lower Feedback Resistor",100,0.09,"https://www.lcsc.com/product-detail/C185420.html?spm=wm.gwc.xh.12.cbm___wm.jsy.top.gwc&lcsc_vid=RAcKAlZfRgcIX1ReFQJbUgBSRQMIXgJTTgVcAwJURlQxVlNRQVVeUlJRQVVbUTtW","LCSC"
"402Ω Resistor","Feedback Resistors",20,0.08,"https://www.lcsc.com/product-detail/C41042.html?spm=wm.gwc.xh.11.cbm___wm.jsy.top.gwc&lcsc_vid=RAcKAlZfRgcIX1ReFQJbUgBSRQMIXgJTTgVcAwJURlQxVlNRQVVeUlJRQVVbUTtW","LCSC"
"75Ω Resistor","Video Out Resistor",100,0.09,"https://www.lcsc.com/product-detail/C25133.html?spm=wm.gwc.xh.10.cbm___wm.jsy.top.gwc&lcsc_vid=RAcKAlZfRgcIX1ReFQJbUgBSRQMIXgJTTgVcAwJURlQxVlNRQVVeUlJRQVVbUTtW","LCSC"
"1.5k Resistor","Voltage LED / V Sense Resistors",20,0.00,"https://jlcpcb.com/partdetail/26610-0402WGF1501TCE/C25867","JLCPCB"
"1k Resistor","Buzzer / Voltage LED / Current Sense Resistors",20,0.01,"https://jlcpcb.com/partdetail/12256-0402WGF1001TCE/C11702","JLCPCB"
"5.1k Resistor","Pull-down / Voltage LED Resistors",20,0.01,"https://jlcpcb.com/partdetail/26648-0402WGF5101TCE/C25905","JLCPCB"
"10k Resistor","General Purpose",24,0.03,"https://jlcpcb.com/partdetail/26487-0402WGF1002TCE/C25744","JLCPCB"
"33Ω Resistor","Series Termination Resistor",20,0.00,"https://jlcpcb.com/partdetail/25848-0402WGF330JTCE/C25105","JLCPCB"
"5.6uH Inductor","Power Inductor",5,0.85,"https://www.lcsc.com/product-detail/C475914.html","LCSC"
"1uH Inductor","Power / EMI Inductor",10,1.41,"https://www.lcsc.com/product-detail/C435392.html","LCSC"
"LED","Voltage Detection",6,0.07,"https://jlcpcb.com/partdetail/Hubei_KENTOElec-KT0603W/C2290","JLCPCB"
"Diode","Flyback / USB Diodes",100,0.57,"https://www.lcsc.com/product-detail/C917030.html?spm=wm.gwc.xh.14.cbm___wm.sxq.ssl.gwc&lcsc_vid=RAcKAlZfRgcIX1ReFQJbUgBSRQMIXgJTTgVcAwJURlQxVlNRQVVeX1RSR1leVTsOAxUeFF5JWBYZEEoKFBINSQcJGk4%3D","LCSC"
"4 Pin Connector","Reciever Connector",10,0.48,"https://www.lcsc.com/product-detail/C2906270.html","LCSC"
"5 Pin Connector","Video Transmitter",10,0.53,"https://www.lcsc.com/product-detail/C2906271.html","LCSC"
"6 Pin Connector","Camera Connector",10,0.51,"https://www.lcsc.com/product-detail/C2906272.html","LCSC"
"8 Pin Connector","ESC Connector",10,0.61,"https://www.lcsc.com/product-detail/C5340778.html","LCSC"
