Designator,Mid X,Mid Y,Rotation,Layer
C1,155.5,-90.5,180.0,top
C10,160.525,-100.0,180.0,top
C11,137.75,-92.75,180.0,top
C12,145.25,-101.025,270.0,top
C13,160.48,-101.5,180.0,top
C14,143.75,-101.025,270.0,top
C15,160.48,-103.0,180.0,top
C16,146.75,-101.025,270.0,top
C17,160.48,-104.5,180.0,top
C18,148.25,-101.025,270.0,top
C19,138.62,-88.0,0.0,top
C2,165.25,-86.5,90.0,top
C20,152.25,-103.75,270.0,top
C21,157.75,-104.5,180.0,top
C22,160.23,-98.75,180.0,top
C23,149.56,-101.4,270.0,top
C24,142.25,-91.25,0.0,top
C25,141.75,-92.75,0.0,top
C26,158.25,-98.977,90.0,top
C27,147.02,-104.75,180.0,top
C28,157.25,-98.977,90.0,top
C29,147.02,-105.75,180.0,top
C3,166.25,-86.5,90.0,top
C30,156.25,-98.977,90.0,top
C31,147.02,-103.75,180.0,top
C32,139.25,-81.54,180.0,top
C33,141.175,-87.025,0.0,top
C34,142.75,-76.25,180.0,top
C35,140.75,-79.25,90.0,top
C36,148.5,-67.25,270.0,top
C37,147.925,-77.0,270.0,top
C38,158.75,-91.02,90.0,top
C39,145.5,-84.24,90.0,top
C4,168.0,-86.5,90.0,top
C40,160.52,-79.75,180.0,top
C41,147.25,-92.02,90.0,top
C42,145.425,-78.5,270.0,top
C43,146.25,-92.02,90.0,top
C44,160.52,-78.75,180.0,top
C45,153.5,-91.0,90.0,top
C46,157.75,-91.02,90.0,top
C47,159.0,-88.25,180.0,top
C48,152.0,-97.23,90.0,top
C49,151.0,-97.23,90.0,top
C5,163.5,-96.575,270.0,top
C52,156.77,-93.75,0.0,top
C53,156.77,-94.75,180.0,top
C54,148.5,-74.48,90.0,top
C55,147.5,-74.5,90.0,top
C6,166.0,-96.575,270.0,top
C7,168.75,-96.575,0.0,top
C8,167.5,-98.705,0.0,top
C9,164.574386,-96.552568,270.0,top
CARD1,157.19,-67.47,180.0,top
CN1,157.75,-109.25,0.0,top
CN2,130.5,-96.25,270.0,top
CN3,174.0,-98.0,90.0,top
CN4,174.0,-90.75,90.0,top
D1,167.0,-84.25,0.0,top
D2,165.25,-77.25,0.0,top
D3,131.905,-74.25,180.0,top
D4,146.75,-94.25,180.0,top
D5,146.755,-96.0,180.0,top
D6,146.77,-97.75,180.0,top
J1,160.52,-71.5,0.0,bottom
J2,157.11,-108.5,180.0,bottom
J3,131.125,-96.73,270.0,bottom
J4,171.75,-103.25,90.0,bottom
J5,167.08,-98.5,0.0,bottom
J6,167.06,-96.0,0.0,bottom
J7,171.75,-92.23,90.0,bottom
J8,150.71,-71.5,0.0,bottom
L1,144.5,-88.5,270.0,top
L2,138.75,-97.0,180.0,top
L3,154.0,-98.6635,270.0,top
L4,144.56,-104.9,270.0,top
Q1,131.4075,-90.2,0.0,top
R1,153.0,-74.75,270.0,top
R10,154.75,-102.1635,90.0,top
R11,150.02,-107.0,180.0,top
R12,167.75,-82.75,0.0,top
R13,167.75,-78.5,0.0,top
R14,133.9075,-90.7,90.0,top
R15,148.25,-71.75,270.0,top
R16,149.25,-94.0,0.0,top
R17,143.5,-84.24,90.0,top
R18,144.5,-84.24,90.0,top
R19,157.75,-74.72,90.0,top
R2,161.0,-96.565,270.0,top
R20,155.75,-74.71,90.0,top
R21,154.0,-74.75,90.0,top
R22,162.69,-74.75,90.0,top
R23,160.75,-74.75,90.0,top
R24,149.25,-95.5,0.0,top
R25,152.5,-91.0,90.0,top
R26,149.0,-97.75,90.0,top
R27,149.5,-76.0,0.0,top
R28,151.5,-76.0,180.0,top
R3,169.75,-98.75,270.0,top
R4,152.25,-106.25,270.0,top
R5,150.75,-101.5,90.0,top
R6,155.75,-104.5,0.0,top
R7,151.77,-100.76,90.0,top
R8,141.77,-90.0,180.0,top
R9,141.77,-89.0,0.0,top
SW1_BOOT1,144.75,-71.0,0.0,top
SW1_RST1,144.82,-66.75,0.0,top
U1,152.75,-83.325,270.0,top
U2,164.405,-91.575,90.0,top
U3,138.0,-90.3,180.0,top
U4,157.25,-102.187,0.0,top
U5,150.29,-104.5,90.0,top
U6,131.75,-81.75,90.0,top
U8,153.75,-94.75,0.0,top
U9,150.75,-74.0,270.0,top
USB1,172.5,-82.0,90.0,top
X1,161.75,-83.5,180.0,top
X2,140.275,-84.425,270.0,top
X3,143.02,-79.075,270.0,top
